Step,Node,Series,ElapsedTime,EpochTime,CPUFrequency,CPUTime,CPUUtilization,RSS,VMSize,Pages,ReadMB,WriteMB
-4,r8937440-n43543,0,2690,1623534961,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2700,1623534971,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2710,1623534981,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2720,1623534991,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2730,1623535001,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2740,1623535011,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2750,1623535021,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2760,1623535031,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2770,1623535041,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2780,1623535051,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2790,1623535061,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2800,1623535071,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2810,1623535081,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2820,1623535091,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2830,1623535101,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2840,1623535111,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2850,1623535121,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2860,1623535131,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2870,1623535141,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2880,1623535151,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2890,1623535161,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2900,1623535171,1048,0,0,780,7776,0,0,0
-4,r8937440-n43543,0,2910,1623535181,1048,0,0,780,7776,0,0,0
